"Date","Max_TemperatureF","Min_TemperatureF"
2014-01-01,-5,-20
2014-01-02,-5,-25
2014-01-03,29,-5
2014-01-04,11,-15
2014-01-05,-13,-20
2014-01-06,-9,-24
2014-01-07,-3,-13
2014-01-08,2,-21
2014-01-09,24,2
2014-01-10,29,16
2014-01-11,29,15
2014-01-12,40,26
2014-01-13,28,14
2014-01-14,20,5
2014-01-15,37,-8
2014-01-16,37,-1
2014-01-17,18,-13
2014-01-18,22,8
2014-01-19,31,14
2014-01-20,17,-19
2014-01-21,9,-21
2014-01-22,8,-13
2014-01-23,19,-20
2014-01-24,35,6
2014-01-25,8,-5
2014-01-26,15,-12
2014-01-27,-8,-17
2014-01-28,2,-19
2014-01-29,26,-6
2014-01-30,14,-10
2014-01-31,10,-11
2014-02-01,12,-4
2014-02-02,15,-5
2014-02-03,18,-3
2014-02-04,2,-14
2014-02-05,2,-5
2014-02-06,9,-10
2014-02-07,10,-6
2014-02-08,3,-16
2014-02-09,0,-14
2014-02-10,1,-20
2014-02-11,21,-10
2014-02-12,17,-8
2014-02-13,27,-4
2014-02-14,8,-11
2014-02-15,19,1
2014-02-16,20,-8
2014-02-17,34,20
2014-02-18,38,16
2014-02-19,41,13
2014-02-20,34,5
2014-02-21,14,1
2014-02-22,13,-3
2014-02-23,14,-2
2014-02-24,4,-11
2014-02-25,1,-12
2014-02-26,16,-10
2014-02-27,-1,-20
2014-02-28,11,-8
2014-03-01,-8,-16
2014-03-02,3,-19
2014-03-03,9,-11
2014-03-04,14,3
2014-03-05,22,-1
2014-03-06,35,16
2014-03-07,33,5
2014-03-08,27,4
2014-03-09,44,24
2014-03-10,47,35
2014-03-11,35,19
2014-03-12,32,16
2014-03-13,57,25
2014-03-14,37,15
2014-03-15,22,6
2014-03-16,31,2
2014-03-17,42,28
2014-03-18,34,29
2014-03-19,43,22
2014-03-20,46,21
2014-03-21,40,10
2014-03-22,19,8
2014-03-23,28,5
2014-03-24,34,12
2014-03-25,29,4
2014-03-26,44,17
2014-03-27,34,18
2014-03-28,33,12
2014-03-29,45,25
2014-03-30,50,34
2014-03-31,37,17
2014-04-01,26,12
2014-04-02,33,9
2014-04-03,38,31
2014-04-04,35,26
2014-04-05,58,28
2014-04-06,60,28
2014-04-07,54,33
2014-04-08,55,30
2014-04-09,79,37
2014-04-10,59,36
2014-04-11,62,34
2014-04-12,59,38
2014-04-13,38,25
2014-04-14,32,16
2014-04-15,34,12
2014-04-16,38,28
2014-04-17,45,20
2014-04-18,53,32
2014-04-19,69,39
2014-04-20,76,30
2014-04-21,58,36
2014-04-22,64,29
2014-04-23,49,40
2014-04-24,52,36
2014-04-25,53,37
2014-04-26,55,31
2014-04-27,43,38
2014-04-28,42,38
2014-04-29,54,37
2014-04-30,43,38
2014-05-01,56,39
2014-05-02,63,43
2014-05-03,54,32
2014-05-04,50,30
2014-05-05,60,40
2014-05-06,63,47
2014-05-07,63,45
2014-05-08,48,44
2014-05-09,62,40
2014-05-10,69,35
2014-05-11,60,46
2014-05-12,46,41
2014-05-13,53,34
2014-05-14,46,33
2014-05-15,52,34
2014-05-16,62,31
2014-05-17,72,35
2014-05-18,74,42
2014-05-19,65,53
2014-05-20,76,46
2014-05-21,67,45
2014-05-22,74,38
2014-05-23,84,54
2014-05-24,90,61
2014-05-25,87,61
2014-05-26,84,57
2014-05-27,89,55
2014-05-28,89,65
2014-05-29,91,65
2014-05-30,93,65
2014-05-31,72,64
2014-06-01,79,60
2014-06-02,68,52
2014-06-03,78,49
2014-06-04,83,53
2014-06-05,76,61
2014-06-06,66,53
2014-06-07,73,51
2014-06-08,77,44
2014-06-09,80,52
2014-06-10,82,53
2014-06-11,70,52
2014-06-12,71,50
2014-06-13,78,46
2014-06-14,71,57
2014-06-15,73,59
2014-06-16,76,54
2014-06-17,82,58
2014-06-18,82,62
2014-06-19,76,57
2014-06-20,82,54
2014-06-21,89,62
2014-06-22,82,62
2014-06-23,81,59
2014-06-24,70,61
2014-06-25,73,61
2014-06-26,83,60
2014-06-27,84,69
2014-06-28,82,67
2014-06-29,82,64
2014-06-30,76,64
2014-07-01,65,54
2014-07-02,73,51
2014-07-03,77,49
2014-07-04,84,62
2014-07-05,93,67
2014-07-06,85,68
2014-07-07,82,61
2014-07-08,76,59
2014-07-09,76,57
2014-07-10,85,61
2014-07-11,88,65
2014-07-12,82,59
2014-07-13,77,53
2014-07-14,69,50
2014-07-15,75,49
2014-07-16,78,50
2014-07-17,83,59
2014-07-18,87,64
2014-07-19,81,61
2014-07-20,93,69
2014-07-21,93,67
2014-07-22,79,61
2014-07-23,79,57
2014-07-24,78,62
2014-07-25,82,61
2014-07-26,82,57
2014-07-27,69,59
2014-07-28,77,57
2014-07-29,81,51
2014-07-30,83,53
2014-07-31,85,55
2014-08-01,84,59
2014-08-02,86,57
2014-08-03,81,58
2014-08-04,79,52
2014-08-05,81,53
2014-08-06,82,57
2014-08-07,82,59
2014-08-08,83,60
2014-08-09,80,65
2014-08-10,80,60
2014-08-11,78,54
2014-08-12,84,49
2014-08-13,85,58
2014-08-14,82,66
2014-08-15,86,67
2014-08-16,88,65
2014-08-17,76,65
2014-08-18,79,63
2014-08-19,83,58
2014-08-20,85,64
2014-08-21,79,64
2014-08-22,75,63
2014-08-23,73,64
2014-08-24,82,63
2014-08-25,66,55
2014-08-26,70,49
2014-08-27,75,49
2014-08-28,73,65
2014-08-29,77,62
2014-08-30,73,56
2014-08-31,75,57
2014-09-01,78,51
2014-09-02,80,51
2014-09-03,79,55
2014-09-04,77,53
2014-09-05,71,48
2014-09-06,80,47
2014-09-07,82,50
2014-09-08,82,58
2014-09-09,58,48
2014-09-10,56,46
2014-09-11,57,40
2014-09-12,57,40
2014-09-13,66,39
2014-09-14,60,41
2014-09-15,66,40
2014-09-16,72,43
2014-09-17,74,43
2014-09-18,76,42
2014-09-19,80,61
2014-09-20,71,50
2014-09-21,68,49
2014-09-22,77,47
2014-09-23,77,56
2014-09-24,68,59
2014-09-25,85,57
2014-09-26,85,63
2014-09-27,87,64
2014-09-28,69,52
2014-09-29,65,47
2014-09-30,62,44
2014-10-01,72,58
2014-10-02,70,46
2014-10-03,48,38
2014-10-04,48,33
2014-10-05,55,34
2014-10-06,64,34
2014-10-07,59,41
2014-10-08,53,30
2014-10-09,54,25
2014-10-10,58,24
2014-10-11,65,34
2014-10-12,59,46
2014-10-13,66,39
2014-10-14,68,33
2014-10-15,70,37
2014-10-16,70,50
2014-10-17,50,43
2014-10-18,46,42
2014-10-19,71,40
2014-10-20,65,35
2014-10-21,67,43
2014-10-22,68,49
2014-10-23,72,41
2014-10-24,78,42
2014-10-25,62,35
2014-10-26,65,36
2014-10-27,53,39
2014-10-28,44,38
2014-10-29,43,34
2014-10-30,42,22
2014-10-31,41,13
2014-11-01,50,30
2014-11-02,57,39
2014-11-03,52,38
2014-11-04,44,27
2014-11-05,38,30
2014-11-06,44,29
2014-11-07,52,36
2014-11-08,42,33
2014-11-09,37,24
2014-11-10,24,20
2014-11-11,23,15
2014-11-12,26,11
2014-11-13,21,6
2014-11-14,22,3
2014-11-15,22,5
2014-11-16,23,7
2014-11-17,16,10
2014-11-18,24,11
2014-11-19,28,7
2014-11-20,22,2
2014-11-21,34,11
2014-11-22,46,21
2014-11-23,45,18
2014-11-24,20,5
2014-11-25,27,8
2014-11-26,20,-10
2014-11-27,11,-13
2014-11-28,21,11
2014-11-29,26,9
2014-11-30,9,-2
2014-12-01,9,-13
2014-12-02,20,6
2014-12-03,19,6
2014-12-04,34,14
2014-12-05,29,8
2014-12-06,29,2
2014-12-07,37,29
2014-12-08,35,12
2014-12-09,26,5
2014-12-10,33,26
2014-12-11,34,29
2014-12-12,36,32
2014-12-13,45,34
2014-12-14,47,33
2014-12-15,33,13
2014-12-16,17,6
2014-12-17,20,2
2014-12-18,22,7
2014-12-19,32,22
2014-12-20,33,30
2014-12-21,37,32
2014-12-22,41,34
2014-12-23,35,31
2014-12-24,31,27
2014-12-25,31,26
2014-12-26,27,6
2014-12-27,26,1
2014-12-28,23,-4
2014-12-29,3,-9
2014-12-30,4,-10
2014-12-31,24,-1
